Фамилия,Имя,Отчество,Телефон
Иванов,Иван,Иванович,5675468754
Петров,Пётр,Петрович,7456567589
Сидоров,Сидор,Сидорович,43564395876
Алексеев,Макар,Трифонович,83334442233
Федоров,Федор,Федорович,98456793456
Максимов,Максим,Максимович,948567456
Дмитриев,Дмитрий,Дмитриевич,49586467
Сергеев,Сергей,Сергеевич,9456978465
Матвеев,Матвей,Матвеевич,83567348567
Юрьев,Юрий,Юрьевич,9345678346
Николаев,Николай,Николаевич,94856749567
Федоров,Фёдор,Федорович,9876543210
Алексеев,Алексей,Герасимович,8346349866
Макаров,Макар,Макарович,4445556666
Викторов,Виктор,Викторович,89997776655
Михайлов,Михаил,Михайлович,81112223344
Амурский,Иван,Зиновьевич,87776663322
Барыгин-амурский,Яков,Анатольевич,78886664433
Мухортин,Павел,Викторович,1122334455
Денисов,Денис,Денисович,123654789
Антонов,Антон,Игоревич,8111223344
Станиславов,Станислав,Станиславович,1029384756
